Grant Name,Tag
Advancing Equity through Workforce Partnerships,Economic and Workforce Development
Climate Smart Humanities Organizations,Feasibility Studies
Cultural and Community Resilience,Energy Products
Economic Development Research and National Technical Assistance (RNTA) Program,Economic and Workforce Development
Energy Efficiency and Conservation Block Grant Program,Energy Products
Energy Improvement of Rural or Remote Areas,"Energy Products, Greenhouse Gas"
Energy Infrastructure Reinvesting Financing,Energy Products
Formula Grants Preventing Outages and Enhancing Resilience of Electric Grid,Energy Products
Greenhouse Gas Reduction Fund,Greenhouse Gas
Program Upgrading Our Electric Grid and Ensuring Reliability and Resiliency,Energy Products
Public Works and Economic Adjustment Assistance Programs,Energy Products
Pumped Storage Hydropower Wind and Solar Integration and System Reliability Initiative,Energy Products
RESTORE Act Direct Component- Non-Construction Activities,Economic and Workforce Development
Rural Economic Development Loan and Grant Program of New York,Economic and Workforce Development
Rural Energy America Program Energy Audit and Renewable Energy Development Assistance Grants,Energy Products
Rural Energy America Program Renewable Energy Systems and Energy Efficiency Improvements Loans and Grants of NY,Energy Products
Tribal Solar and Wind Grid Services and Reliability Demonstration,"Feasibility Studies, Energy Products"
Solar and Wind Grid Services and Reliability Demonstration,"Feasibility Studies, Energy Products"
Tribal Climate Resilience,Energy Products
Tribal Energy Loan Guarantee Program,Energy Products
